rating,title,text,images,asin,parent_asin,user_id,helpful_vote,verified_purchase
1,malware,mcaffee IS malware,[],B07BFS3G7P,B0BQSK9QCF,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,0,FALSE
5,Lots of Fun,"I love playing tapped out because it is fun to watch the town grow by earning money and buying buildings.  I love helping my neighbors, too.",[],B00CTQ6SIG,B00CTQ6SIG,AHSPLDNW5OOUK2PLH7GXLACFBZNQ,0,TRUE
5,Light Up The Dark,"I love this flashlight app!  It really illuminates the dark, very cool!  Get this app, you will love it, really!",[],B0066WJLU6,B0066WJLU6,AHSPLDNW5OOUK2PLH7GXLACFBZNQ,0,TRUE
4,Fun game,One of my favorite games,[],B00KCYMAWK,B00KCYMAWK,AH6CATODIVPVUOJEWHRSRCSKAOHA,0,TRUE
4,I am not that good at it but my kids are,Cute game. I am not that good at it but my kids are. We love Nik Wallenda!,[],B00P1RK566,B00P1RK566,AEINY4XOINMMJCK5GZ3M6MMHBN6A,0,TRUE
4,good game,"Made me think , variety of the puzzles kept it fun to play. I am glad I gave this one a chance.  Looking forward to the next update",[],B00CWY76CC,B00CWY76CC,AEINY4XOINMMJCK5GZ3M6MMHBN6A,0,TRUE
5,My favorite showVoice my favorite show,See the voice anytime my My favorite show,[],B018IOV40E,B018IOV40E,AEJDETWITK2KGACH7FUBMY33PPSQ,0,TRUE
5,Great Antivirus product,"Not sure what else can be said about Norton products. I have used them for years on all my desk and laptop computers. Easy to install and protects my hard-drives well. Not sure I see what one of the other reviewers stated about upsells from Norton (haven't seen them yet even after almost 3 weeks of daily use). Anyway, if you are looking for Antivirus software that can be easily installed on three of your devices, this is for you.",[],B00EZPXYP4,B00EZPXYP4,AFSKPY37N3C43SOI5IEXEK5JSIYA,0,FALSE
1,Fraught with too many problems,"Save your money and purchase a good (i.e. Norton) security for your PC. Too many issues with this version. I have not tried the newer editions since I was so burned by this one, but I do see where the latest edition is $20 cheaper than this one. So, if you are into gambling and want to try the more recent version, maybe they got rid of all the bugs and glitches in this one. I still would recommend looking elsewhere to protect your pc.",[],B002I7PGT8,B002I7PGT8,AFSKPY37N3C43SOI5IEXEK5JSIYA,0,FALSE
4,Norton Internet Security,"I always use Norton as my PC security application (have for over 10 years). I prefer it to most others as I have never had any issues with worms or viruses. Of course, this 2011 version is now outdated and I would recommend that the intended purchaser go with the 2013 version to be sure to capture all recent updates (I now how the 2013 version of this app already purchased and installed on my HP. Highly recommend the Norton as your security application.",[],B0040GFFGO,B005ZKC4FO,AFSKPY37N3C43SOI5IEXEK5JSIYA,0,FALSE
2,"Too many issues, maybe the newer versions are better","I found the Roxio Creator to be too difficult to work with, with issues occurring on and off all the time (bugs for sure). I couldn't get the editing down on this application, so I was never able to fully utilize it. I did however, use it fo video transfers which did seem to work well. Anyway, in looking at the other reviews out here it looks like others have had the same troubles I have had. Maybe with the 2013 version Roxio might get it right, but steer clear of the older versions out there.",[],B004074Y6U,B004074Y6U,AFSKPY37N3C43SOI5IEXEK5JSIYA,0,FALSE
5,Great Product,"I had a trial version of Microsoft Office which came with my laptop, so I was in the market for the full blown version that would work with my Vista system. This product was easy to use and install and walked me throught the entire process. I would highly recommend to anyone.",[],B00337D8U6,B00466BGS4,AFSKPY37N3C43SOI5IEXEK5JSIYA,0,FALSE
5,WOW,"It's a great game,like it has so many types of Dragons. Amazing",[],B00ASMHGWU,B00ASMHGWU,AEBQTMAMKQWHOLTR4CYXKKZWXSMA,1,TRUE
2,"It's ok, could be better","For the amount of money, the app is good. BUT the interface leaves a lot to be desired. I have it for Roku so not sure if it's the same on each platform. When doing certain things like searching through your shows, you have to go through every.single.one.of.them. to get to the show you want, instead of having each show in it's own section like other apps. Also, if you are searching through your shows and you click on it and then go back, you go back to the very beginning. When looking through 'recorded shows', you scroll through a ton then you can hit see more and again it takes you back to the beginning. The show selection is good and I am happy with that part of it but it gets old doing all the scrolling when they could improve the interface and make it a lot easier to see what you have to watch. Also, you cannot always find shows in the search section, it is odd and another one of Frndly's weird features.",[],B07VC9NCQN,B07VC9NCQN,AFGNIWCBLQT2QIXXKIW7Q6VREZRQ,0,FALSE
4,MobileMe2011 upgrade again,"Cheaper to buy the amazon upgrade versus paining Apple's high price.<br />to be honest I wonder at times why I do this every year. the features really aren't any better each year. I don't have a lot backed up but do have some.<br />I haven't hung a website up so why?<br />keeps an email available to me, my wife and daughter to communicate with. Yes I have gmail and hotmail but both have been spammed and taken over even w/ password changes.<br />so i pay the fee and upgrade thanks to amazon",[],B003TLDSJ2,B003TLDSJ2,AG35BKPUEUMX7LV5YLOQ5YCQ3GOA,0,TRUE
5,fun,fun app,[],B06XXS9VHZ,B06XXS9VHZ,AHGAOIZVODNHYMNCBV4DECZH42UQ,11,TRUE
1,Nothing special,not that good a much better app is  Cross Stitch World,[],B00MTDAAPQ,B00MTDAAPQ,AHGAOIZVODNHYMNCBV4DECZH42UQ,1,TRUE
5,"great fun, nice prizes if you are casino bound.","Been playing in anticipation of a Vegas trip.  Both blackjack and slots.  Earning free buffet trips, discounted shows a d rooms without spending a dime.",[],B00GXH3TGG,B00GXH3TGG,AGAJIGBX3UA7OEFS3XA42FR5SGWA,1,TRUE
4,fun!!!!,Fun!!!!,[],B00OTZKV2E,B00OTZKV2E,AGAJIGBX3UA7OEFS3XA42FR5SGWA,0,TRUE
5,silly penguin,Lot of fun but can be very frustrating only because I'm a Moron @ times while playing the game.Made me laugh @ myself and try harder.Just a fun SIMPLE. game.,[],B007KLXKFE,B007KLXKFE,AEBEMKCZEMUFCPGTHMPVILJ7Z5VA,2,TRUE
5,ABS,YES PLANNING MY 30 day tomorrow,[],B00W7C12F6,B00W7C12F6,AEOKAIB6OJVB5FRZGLEB3YAK5UBQ,5,TRUE
5,Five Stars,My favorite music app.,[],B00KLBR6IC,B00KLBR6IC,AEOKAIB6OJVB5FRZGLEB3YAK5UBQ,0,TRUE
5,My Echo Dot,Bought it at Best Buy. Best gadget in awhile. Way to go Amazon;,[],B00P03D4D2,B00P03D4D2,AEOKAIB6OJVB5FRZGLEB3YAK5UBQ,0,TRUE
5,Free Firestick Channels,Love these free channels I can get with my Firestick.,[],B076X8FKXP,B076X8FKXP,AHZ6XMOLEWA67S3TX7IWEXXGWSOA,0,TRUE
4,reef rescue,"I like this game ok... but wish there were less that you must purchase.  Eh.  I'll play until I get tired of the pay for this, pay for that.  Eh.  Wish it could be the good old days and you could play a game for fun.",[],B0788DHDKG,B0788DHDKG,AFZUK3MTBIBEDQOPAK3OATUOUKLA,11,TRUE
3,discovery plus,"The app works... but... in general I just don't think there is enough content to justify the additional streaming costs.  I haven't found a single show that would make me think I needed to pay more.  Plus, I don't really appreciate that they make you pay to see some shows - new and/or reruns.  Eh.  I already pay way enough for my satellite subscription.  So, once my trial use is over - I'll cancel.",[],B08F8XQLQZ,B08F8XQLQZ,AFZUK3MTBIBEDQOPAK3OATUOUKLA,0,TRUE
